timestamp_utc,experiment,gate,value,threshold,status,note
2026-08-01T00:33:49.722083+00:00,E0_E0b,E0.a_delta_not_absolute,"{""status"": ""validated_control_centred"", ""ratio"": 0.027247261255979538, ""fold_pct_error"": 3.552713678800501e-15, ""control_expr_coverage"": 0.9917163067758749, ""target_control_ref_r"": 0.9310257242943984, ""target_control_ref_mae"": 0.11145546366466154}",X target effect agrees with control_expr x fold_expr reference,PASS,K562_clip_log1p
2026-08-01T00:33:49.722093+00:00,E0_E0b,E0.c_orientation,"{""p_rows"": 8403, ""p_columns"": 7094, ""t_rows"": 5740, ""t_columns"": 7094, ""declared_n_perturbations"": 8403, ""declared_n_patients"": 5740}","P rows==n_perturbations, T rows==n_patients, both column counts==n_shared_genes",PASS,K562_clip_log1p
2026-08-01T00:33:49.722103+00:00,E0_E0b,G1.2b_split_composition,"{""n_half_a"": 2863, ""n_half_b"": 2877, ""n_cancers"": 29, ""max_group_count_imbalance"": 1}",cancer-stratified; imbalance<=1,PASS,K562_clip_log1p
2026-08-01T00:33:49.722112+00:00,E0_E0b,G3.1_effective_rank_P,51.697628021240234,finite,PASS,K562_clip_log1p
2026-08-01T00:33:49.722117+00:00,E0_E0b,G3.2_dead_dimensions_P,0.0,report,PASS,K562_clip_log1p
2026-08-01T00:33:49.722122+00:00,E0_E0b,G3.3_duplicate_dimensions_P,0.0,report,PASS,K562_clip_log1p
2026-08-01T00:33:49.722126+00:00,E0_E0b,G3.4_sample_variation_P,2.6089489459991455,>0,PASS,K562_clip_log1p
2026-08-01T00:33:49.722146+00:00,E0_E0b,G3.5_site_degeneracy_P,unavailable_no_site_labels,"RECORDED OBSERVATION, NOT A TEST: no site labels in either input",PASS,"K562_clip_log1p; recorded observation, not a test"
2026-08-01T00:33:49.722168+00:00,E0_E0b,G3.6_norm_sanity_P,"{""mean"": 26.98674774169922, ""median"": 17.032119750976562, ""nonfinite"": 0}",zero nonfinite,PASS,K562_clip_log1p
2026-08-01T00:33:49.722175+00:00,E0_E0b,G3.1_effective_rank_T,49.67076110839844,finite,PASS,K562_clip_log1p
2026-08-01T00:33:49.722179+00:00,E0_E0b,G3.2_dead_dimensions_T,0.0,report,PASS,K562_clip_log1p
2026-08-01T00:33:49.722183+00:00,E0_E0b,G3.3_duplicate_dimensions_T,0.0,report,PASS,K562_clip_log1p
2026-08-01T00:33:49.722187+00:00,E0_E0b,G3.4_sample_variation_T,3.6358773708343506,>0,PASS,K562_clip_log1p
2026-08-01T00:33:49.722190+00:00,E0_E0b,G3.5_site_degeneracy_T,unavailable_no_site_labels,"RECORDED OBSERVATION, NOT A TEST: no site labels in either input",PASS,"K562_clip_log1p; recorded observation, not a test"
2026-08-01T00:33:49.722201+00:00,E0_E0b,G3.6_norm_sanity_T,"{""mean"": 70.30307006835938, ""median"": 66.53114318847656, ""nonfinite"": 0}",zero nonfinite,PASS,K562_clip_log1p
2026-08-01T00:33:49.722229+00:00,E0_E0b,E0b_full_dictionary_rank,"{""rank_mode"": ""full_cuda_svd_float64"", ""numerical_rank"": 8141, ""max_possible_rank"": 8246, ""rank_relative_tolerance"": 0.0010017156600952148, ""effective_rank"": 5945.245770688259, ""stable_rank"": 17.36824104856064}","float64 spectrum with a max(n,p)*eps cut; finite ranks; rank <= min(n,p)",PASS,K562_clip_log1p
2026-08-01T00:33:49.722234+00:00,E0_E0b,E0b_dictionary_coherence,0.8461066484451294,finite,PASS,K562_clip_log1p
2026-08-01T00:33:49.722238+00:00,E0_E0b,E0b_equivalence_classes,8403,>0,PASS,K562_clip_log1p
2026-08-01T00:33:49.722242+00:00,E0_E0b,E0b_guide_retrieval,available,available or explicit unavailable,PASS,K562_clip_log1p
2026-08-01T00:33:49.722260+00:00,E0_E0b,E0.h_control_arm_present,"{""arm_status"": ""available"", ""n_perturbation_rows"": 8403, ""n_energy_p_nonfinite"": 0, ""responsive_p_threshold"": 0.01, ""nonresponsive_p_threshold"": 0.2, ""arm_subsample_seed"": 500053, ""n_responsive_full"": 3132, ""n_responsive_matched"": 2501, ""n_nonresponsive"": 2501, ""n_nonresponsive_full"": 2501, ""arm_max_rows"": 0, ""responsive_p"": 0.01, ""nonresponsive_p"": 0.2, ""arms_are_n_matched"": true}",responsive and non-responsive arms built from energy_test_p_value and n-matched,OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722266+00:00,E0_E0b,G4.1_positive_control_split_half_k10_K562_clip_log1p,0.9692735075950623,> same-path heldout matched-null p95,PASS,K562_clip_log1p
2026-08-01T00:33:49.722271+00:00,E0_E0b,G4.2_negative_control_rotated_P_k10_K562_clip_log1p,0.0014014322659932077,near k/n_genes,PASS,K562_clip_log1p
2026-08-01T00:33:49.722285+00:00,E0_E0b,G4.2b_negative_control_gene_shuffle_k10_K562_clip_log1p,"{""median"": 0.006993062095716596, ""p95"": 0.007807101309299469, ""p"": 0.000999000999000999}","recorded; near-identical to the Haar null by construction, so not independent corroboration",OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722296+00:00,E0_E0b,G4.3_null_sanity_k10_K562_clip_log1p,"{""std"": 0.00019539039944840825, ""p95"": 0.0017600523016881198}",std>0; nondegenerate,PASS,K562_clip_log1p
2026-08-01T00:33:49.722309+00:00,E0_E0b,G4.4_heldout_vs_insample_k10_K562_clip_log1p,"{""in"": 0.10117246955633163, ""heldout"": 0.10125870257616043}",reported; no fitted mapping,PASS,K562_clip_log1p
2026-08-01T00:33:49.722313+00:00,E0_E0b,G4.5_null_resolution_k10_K562_clip_log1p,0.000999000999000999,draws>=100,PASS,K562_clip_log1p
2026-08-01T00:33:49.722327+00:00,E0_E0b,G4.6_effect_ci_k10_K562_clip_log1p,"{""bootstrap_ci95"": [0.08566946126520633, 0.10207812190055847], ""null_p95"": 0.0017600523016881198}","finding, not validity: an extreme negative here is a RESULT and must not fail the run",OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722332+00:00,E0_E0b,E0.b_pc1_not_dominant_k10_K562_clip_log1p,0.2083719796281025,pc1_share < 0.9 so the result is not merely the mean-expression axis,PASS,K562_clip_log1p
2026-08-01T00:33:49.722344+00:00,E0_E0b,E0.b_observed_vs_haar_floor_k10_K562_clip_log1p,"{""observed"": 0.10117246955633163, ""null_p95"": 0.0017600523016881198}",recorded for comparison; beating the Haar floor is explicitly NOT the decision rule,OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722348+00:00,E0_E0b,E0.d_ceiling_k10_K562_clip_log1p,0.9692735075950623,>null p95,PASS,K562_clip_log1p
2026-08-01T00:33:49.722365+00:00,E0_E0b,E0.e_matched_spectrum_floor_k10_K562_clip_log1p,"{""spectrum_rel_error"": 7.389655770945173e-08, ""orthonormality_error"": 2.776755001487885e-07, ""checked_draws"": 3.0}",measured rotation: relative singular error<0.0001 and ||QtQ-I||<0.0001 on >=1 draw,PASS,K562_clip_log1p
2026-08-01T00:33:49.722392+00:00,E0_E0b,E0.g_responsive_exceeds_nonresponsive_k10_K562_clip_log1p,"{""responsive_exceeds_nonresponsive"": true, ""decision_status"": ""available"", ""responsive_overlap"": 0.09403331577777863, ""nonresponsive_overlap"": 0.03231162577867508, ""responsive_ci95"": [0.08067420534789563, 0.0979747736826539], ""nonresponsive_ci95"": [0.009827664028853178, 0.030051434319466348], ""bootstrap_diff_ci95"": [0.0566263307351619, 0.08328997966600582], ""bootstrap_diff_median"": 0.07138156518340111, ""n_paired_bootstrap_draws"": 1000, ""responsive_exceeds_nonresponsive_marginal_ci"": true, ""overlap_gap"": 0.061721689999103546, ""responsive_normalised_alignment"": 0.09570372251586136, ""nonresponsive_normalised_alignment"": 0.031919912770884115, ""n_rows"": [2501, 2501], ""arms_are_n_matched"": true, ""responsive_beats_haar_floor_only"": true, ""control_beats_haar_floor"": true}",n-matched responsive bootstrap CI lower > non-responsive CI upper,OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722396+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k10_K562_clip_log1p,0.967872075329069,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,K562_clip_log1p
2026-08-01T00:33:49.722406+00:00,E0_E0b,E0.i_normalised_alignment_value_k10_K562_clip_log1p,"{""normalised"": 0.10308287617081735, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722410+00:00,E0_E0b,G4.1_positive_control_split_half_k25_K562_clip_log1p,0.9002358913421631,> same-path heldout matched-null p95,PASS,K562_clip_log1p
2026-08-01T00:33:49.722415+00:00,E0_E0b,G4.2_negative_control_rotated_P_k25_K562_clip_log1p,0.003515442251227796,near k/n_genes,PASS,K562_clip_log1p
2026-08-01T00:33:49.722425+00:00,E0_E0b,G4.2b_negative_control_gene_shuffle_k25_K562_clip_log1p,"{""median"": 0.010583185125142336, ""p95"": 0.011101274425163865, ""p"": 0.000999000999000999}","recorded; near-identical to the Haar null by construction, so not independent corroboration",OBSERVED,K562_clip_log1p
2026-08-01T00:33:49.722434+00:00,E0_E0b,G4.3_null_sanity_k25_K562_clip_log1p,"{""std"": 0.0002055393671963567, ""p95"": 0.003891450143419206}",std>0; nondegenerate,PASS,K562_clip_log1p
