timestamp_utc,experiment,gate,value,threshold,status,note
2026-07-31T22:01:21.408047+00:00,E0_E0b,E0.e_matched_spectrum_floor_k100_K562_signed_log1p,"{""spectrum_rel_error"": 9.228314649905487e-08, ""orthonormality_error"": 4.775699113945819e-07, ""checked_draws"": 3.0}",measured rotation: relative singular error<0.0001 and ||QtQ-I||<0.0001 on >=1 draw,PASS,K562_signed_log1p
2026-07-31T22:01:21.408067+00:00,E0_E0b,E0.g_responsive_exceeds_nonresponsive_k100_K562_signed_log1p,"{""responsive_exceeds_nonresponsive"": true, ""decision_status"": ""available"", ""responsive_overlap"": 0.07247915863990784, ""nonresponsive_overlap"": 0.04000188782811165, ""responsive_ci95"": [0.061727249994874, 0.06620860509574414], ""nonresponsive_ci95"": [0.03387356922030449, 0.036368226166814566], ""bootstrap_diff_ci95"": [0.026276797987520695, 0.03141203625127673], ""bootstrap_diff_median"": 0.028841065242886543, ""n_paired_bootstrap_draws"": 1000, ""responsive_exceeds_nonresponsive_marginal_ci"": true, ""overlap_gap"": 0.03247727081179619, ""responsive_normalised_alignment"": 0.07079319274224696, ""nonresponsive_normalised_alignment"": 0.0314050948620244, ""n_rows"": [956, 956], ""arms_are_n_matched"": true, ""responsive_beats_haar_floor_only"": true, ""control_beats_haar_floor"": true}",n-matched responsive bootstrap CI lower > non-responsive CI upper,OBSERVED,K562_signed_log1p
2026-07-31T22:01:21.408070+00:00,E0_E0b,E0.i_normalised_alignment_interpretable_k100_K562_signed_log1p,0.8245876976288855,ceiling-null gap > 1e-6 so (observed-null)/(ceiling-null) is interpretable,PASS,K562_signed_log1p
2026-07-31T22:01:21.408077+00:00,E0_E0b,E0.i_normalised_alignment_value_k100_K562_signed_log1p,"{""normalised"": 0.11091163639337576, ""status"": ""available""}",reported for scale; no pass/fail threshold is predeclared,OBSERVED,K562_signed_log1p
2026-07-31T22:03:42.920954+00:00,E0_E0b,G1.1_no_constant_columns,"{""dropped"": 0, ""pre_constant"": 7621, ""dropped_fraction"": 0.0, ""evaluated"": 7621}",n_constant_columns_dropped <= 0.01*n_matched_pre_constant AND n_matched_evaluated > 100,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.920975+00:00,E0_E0b,G1.2_real_gene_join,"8748,20501,7621",">=0.8*min(left,right)",PASS,RPE1_signed_log1p
2026-07-31T22:03:42.920980+00:00,E0_E0b,G1.3_join_not_scrambled,per-k observed vs gene-label permutation,"recorded; join validity is enforced by G1.2/G1.6, not by this statistic",OBSERVED,RPE1_signed_log1p
2026-07-31T22:03:42.921011+00:00,E0_E0b,G1.4_scale_sanity,"{""raw_max"": 7092440.0, ""post_transform_max"": 22.757850646972656, ""post_transform_zero_fraction"": 0.14392274296057989, ""post_transform_skew"": -0.3311598598957062}",all finite; post_transform_max>0; 0<=zero_fraction<1,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921027+00:00,E0_E0b,G1.5_explicit_row_filtering,"{""P_nonfinite"": 240, ""T_nonfinite"": 1671, ""P_zero"": 0, ""T_zero"": 0}",every drop counted and P/T drops leave the declared row counts intact,PASS,RPE1_signed_log1p
2026-07-31T22:03:42.921035+00:00,E0_E0b,G1.6_housekeeping_mapping,"ACTB,B2M,GAPDH,RPL13A,TUBB",all five present,PASS,RPE1_signed_log1p
